District_ID,SE_15_16_AlgI,SE_15_16_AlgII,SE_15_16_Geo,SE_15_16_1,SE_15_16_2,SE_15_16_3,SE_15_16_4,SE_15_16_5,SE_15_16_6,SE_15_16_7,SE_15_16_8,SE_15_16_K,SE_15_16_PreCalc,SE_15_16_Tot
001i000001ekR90AAE,0,0,0,0,0,1,1,0,1,1,0,0,0,13
001i000001elecyAAA,0,0,0,1.75,0,0,0,0,0,0,0,0,0,7
001i000001elw4OAAQ,0,0,0,80,80,0,0,0,0,0,0,0,0,640
001i000001emB1yAAE,0,0,0,225,0,0,0,0,0,0,0,137.5,0,500
001i000001EUVbaAAH,0,0,0,45,55,55,50,90,90,75,90,45,0,2035
001i000001EUVbiAAH,0,0,0,117.5,142.5,150,163.75,0,0,0,0,0,0,2295
001i000001EUVbVAAX,0,0,0,125,125,125,120,100,0,0,0,125,0,2780
001i000001EUVcHAAX,0,0,0,65,0,0,0,0,0,0,0,65,0,520
001i000001EUVcJAAX,0,0,0,0,0,53,0,0,0,0,0,0,0,212
001i000001EUVozAAH,0,0,0,130,152,152,131,146,127,100,105,48,0,3886
001i000001EVsGsAAL,0,0,0,163,144,144,228,128,0,0,0,263,0,4152
001i000001EVsGUAA1,0,0,0,832.5,772.5,0,0,0,0,0,0,810,0,9660
001i000001EVsGzAAL,0,0,0,40,40,60,60,50,0,0,0,60,0,1190
001i000001EVsHCAA1,0,0,0,2,0,0,0,1,1,0,0,0,0,14
001i000001EW6NzAAL,0,0,0,600,550,618.75,757.5,730,610,0,0,525,0,16225
001i000001EWMAcAAP,0,0,0,110,110,0,0,0,0,0,0,110,0,1320
001i000001EWtVLAA1,0,0,0,200,200,0,0,0,0,0,0,200,0,2400
001i000001F2CS8AAN,0,0,0,0,0,60,60,60,0,0,0,0,0,660
001i000001F2hLLAAZ,0,0,0,120,120,0,0,0,0,0,0,90,0,1320
001i000001F4vLvAAJ,0,0,0,30,0,80,60,60,0,0,0,30,0,980
001i000001f5c3JAAQ,0,0,0,0,20,0,0,0,0,20,0,0,0,140
001i000001FddHuAAJ,20,30,25,25,25,25,25,25,30,30,25,20,0,905
001i000001FddsqAAB,0,0,0,0,120,0,0,0,0,0,0,0,0,480
001i000001FddtKAAR,0,0,0,480,450,400,410,359,125,100,100,505,0,11032
001i000001FdiilAAB,0,0,0,70,55,60,65,75,0,0,0,75,0,1525
001i000001FdiXZAAZ,0,0,0,0,120,0,0,0,0,0,0,0,0,480
001i000001FhEA0AAN,0,0,0,60,30,60,30,30,0,0,0,60,0,1050
001i000001FhEfkAAF,0,0,0,0,0,560,0,0,0,0,0,0,0,560
001i000001FhEfWAAV,30,32,0,70,95,95,95,75,0,0,0,70,0,2049
001i000001FhEgAAAV,0,0,0,55,55,55,55,55,55,55,55,55,0,1760
001i000001FhEovAAF,0,0,0,50,50,40,40,40,25,0,0,40,0,1075
001i000001FhEp4AAF,0,0,0,170,130,120,90,80,80,98.5,140,110,0,3437
001i000001FhF5TAAV,0,0,0,994,974,940,960,900,880,0,0,964,0,24668
001i000001gP2wOAAS,0,0,0,195,190,217,208,221,206,201,184,181,0,6400
001i000001gQ7KeAAK,0,0,0,0,0,0,100,115,100,0,660,0,0,3025
001i000001GVQVwAAP,0,0,0,100,0,0,0,0,0,0,0,0,0,400
001i000001h8wWAAAY,0,0,0,0,0,0,30,30,0,0,0,0,0,210
001i000001H9NQoAAN,0,0,0,515,555,551,582,535,0,0,0,450,0,12217
001i000001hAs8qAAC,20,0,0,0,0,0,0,0,30,40,40,0,0,370
001i000001hAUAtAAO,0,0,0,80,80,80,100,80,60,40,40,120,0,2500
001i000001hB5XvAAK,0,0,0,49,46,0,0,0,0,0,0,35,0,130
001i000001HvdyZAAR,0,0,0,1,1,1,1,1,1,1,1,1,0,32
001i000001HvN1BAAV,50,0,0,0,0,0,0,0,300,300,300,0,0,2800
001i000001HWsgyAAD,0,0,0,540,595,545,550,595,560,0,0,468,0,13321
001i000001HXCTFAA5,0,0,0,0,0,363,710,750,0,0,0,195,0,7322
001i000001HYqHWAA1,0,0,0,100,100,80,80,80,80,80,50,100,0,2710
001i000001iEtryAAC,0,0,0,0,30,30,0,0,0,0,0,0,0,240
001i000001iF98iAAC,90,30,60,0,0,0,0,0,0,0,30,0,30,510
001i000001ITcJOAA1,0,0,0,225,212.5,271.25,275,265,225,0,0,180,0,5900
001i000001ITdUgAAL,0,0,0,25,25,25,20,15,25,0,0,35,0,640
001i000001IXExzAAH,0,0,0,224,262,224,241,0,0,0,0,280.6666667,0,3471
001i000001IzHoQAAV,0,0,0,4,51,75,90,61,90,0,0,4,0,1349
001i000001IzJ9OAAV,0,0,0,0,0,0,0,0,66.66666667,0,0,0,0,200
001i000001JMebyAAD,0,0,0,0,0,0,0,200,0,0,30,0,0,490
001i000001JMQoXAAX,0,0,0,1026,1098.75,1013.75,988.75,1003,30,31,30,1005,0,23811
001i000001JMTRqAAP,0,0,0,500,430,430,430,460,0,0,0,460,0,10380
001i000001JOAlLAAX,0,0,0,11,13,13,12,9,0,0,0,0,0,223
001i000001JOSfvAAH,0,0,0,20,25,25,25,20,20,0,0,20,0,580
001i000001JOWaEAAX,0,0,0,0,0,120,140,105,0,0,0,0,0,1355
